asdf_id,access_50k.none.mean,access_50k.none.max,access_50k.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
647,1242.98166459,2087.0,574.0,ADM3,647,647,ETH,ETH-ADM3-50319843B46062303,Menit Goldiye,ADM3
648,930.335321609,1304.0,441.0,ADM3,648,648,ETH,ETH-ADM3-50319843B51767137,Gelila,ADM3
649,321.655549303,807.0,125.0,ADM3,649,649,ETH,ETH-ADM3-50319843B23278516,Male,ADM3
650,369.934929982,1136.0,116.0,ADM3,650,650,ETH,ETH-ADM3-50319843B16927738,Ayida,ADM3
651,341.64588414,750.0,163.0,ADM3,651,651,ETH,ETH-ADM3-50319843B52298562,Geze Gofa,ADM3
652,263.408085731,847.0,50.0,ADM3,652,652,ETH,ETH-ADM3-50319843B71180180,Tocha,ADM3
653,517.386634621,1108.0,144.0,ADM3,653,653,ETH,ETH-ADM3-50319843B5627453,Gena Bosa,ADM3
654,335.538673938,1153.0,83.0,ADM3,654,654,ETH,ETH-ADM3-50319843B76123210,Tulo,ADM3
655,934.660903263,1962.0,249.0,ADM3,655,655,ETH,ETH-ADM3-50319843B60267438,Sayilem,ADM3
656,865.928661445,2069.0,180.0,ADM3,656,656,ETH,ETH-ADM3-50319843B91380482,Bita (Big),ADM3
657,1400.8820963,2207.0,193.0,ADM3,657,657,ETH,ETH-ADM3-50319843B48611969,Getawa,ADM3
658,1189.25592681,3073.0,215.0,ADM3,658,658,ETH,ETH-ADM3-50319843B79390364,Anderacha,ADM3
